Author,Year,Journal/ Conference,Link,Technology,Saber,Masking,Area (mm^2),Freq. (MHz),KEM.Key (cycles),KEM.Key (usec),KEM.Key (mW),KEM.Enc (cycles),KEM.Enc (usec),KEM.Enc (mW),KEM.Dec (cycles),KEM.Dec (usec),KEM.Dec (mW)
Zhu,2021,TCAS I,https://ieeexplore.ieee.org/abstract/document/9321216,40nm,Light,No,0.38 mm^2,400,603,1.5,35.7,859,2.1,37.2,"1,075",2.7,33.8
Zhu,2021,TCAS I,https://ieeexplore.ieee.org/abstract/document/9321216,40nm,Saber,No,0.38 mm^2,400,"1,066",2.7,39.2,"1,456",3.6,41.3,"1,701",4.3,35.3
Zhu,2021,TCAS I,https://ieeexplore.ieee.org/abstract/document/9321216,40nm,Fire,No,0.38 mm^2,400,"1,716",4.3,44.8,"2,185",5.5,44,"2,478",6.2,42.1
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.299 mm^2,500,"5,644",11.2,-,"6,990",13.9,-,"8,664",17.3,-
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.308 mm^2,582,"5,644",9.6,-,"6,990",12,-,"8,664",14.8,-
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.340 mm^2,610,"5,644",9.2,-,"6,990",11.4,-,"8,664",14.2,-
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.478 mm^2,615,"5,644",9.1,-,"6,990",11,-,"8,664",14,-
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.365 mm^2,663,"5,741",8.6,-,"7,087",11,-,"8,761",13.12,-
Imran,2021,arXiv,https://arxiv.org/pdf/2109.07824.pdf,65nm,Saber,No,0.314 mm^2,1002,"7,154",7.1,184.3,"7,136",7.1,187,"9,359",9.3,186.4
