Author,Year,Journal/ Conference,Link,Platform,Saber,Masking,LUTs,DFFs,DSPs,BRAMs,Freq. (MHz),KEM.Key (cycles),KEM.Key (usec),KEM.Enc (cycles),KEM.Enc (usec),KEM.Dec (cycles),KEM.Dec (usec)
Aikata,2021,IACR ePrint,https://eprint.iacr.org/2021/1461,UltraScale+,Light,No,19100,9300,4,24,200,5935,29.6,8081,40.4,11678,58.3
He,2021,NIST,https://csrc.nist.gov/CSRC/media/Events/third-pqc-standardization-conference/documents/accepted-papers/xie-compact-coprocessor-pqc2021.pdf,UltraScale+,Light,No,8634,6697,0,3,250,101840,407,135122,540,168670,675
He,2021,NIST,https://csrc.nist.gov/CSRC/media/Events/third-pqc-standardization-conference/documents/accepted-papers/xie-compact-coprocessor-pqc2021.pdf,UltraScale+,Light,No,9089,7084,0,3,250,27632,111,36370,145,45374,181
He,2021,NIST,https://csrc.nist.gov/CSRC/media/Events/third-pqc-standardization-conference/documents/accepted-papers/xie-compact-coprocessor-pqc2021.pdf,UltraScale+,Light,No,10111,7699,0,3,250,9072,36,11538,46,14270,57
Dang,2021,IACR ePrint,https://eprint.iacr.org/2021/1508.pdf,UltraScale+,Light,No,23557,14190,0,1.5,370,1607,4.3,-,-,-,-
Dang,2021,IACR ePrint,https://eprint.iacr.org/2021/1508.pdf,UltraScale+,Light,No,24199,14457,0,1.5,370,-,-,2153,5.8,-,-
Dang,2021,IACR ePrint,https://eprint.iacr.org/2021/1508.pdf,UltraScale+,Light,No,24655,14879,0,1.5,370,-,-,-,-,2794,7.6
Roy,2020,CHES,https://tches.iacr.org/index.php/TCHES/article/view/8690/8249,UltraScale+,Light,No,23686,9805,0,2,250,2761,18.41,4033,26.89,5037,33.58
Dang,2019,ICFPT,https://ieeexplore.ieee.org/document/8977901,UltraScale+ (HW/SW),Light,No,12343,11288,256,3.5,322,-,-,-,53,-,56
